latitude,longitude,name,desc,color,source,precision
38.164925,-85.585393,"9400 PLUMWOOD RD, LOUISVILLE","9400 Plumwood Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.161393,-85.700132,"6200 PRESTON HWY, LOUISVILLE","6200 Preston Highway, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.249305,-85.524878,"400  BERMUDA WAY            , LOUISVILLE","400 Bermuda Way, Middletown, Jefferson County, KY, US",,MapQuest Open,address
38.265985,-85.79579,"2800  SLEVIN ST                         , LOUISVILLE","2800 Slevin Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.283891,-85.632307,"2200  HOLIDAY MANOR CTR                             , LOUISVILLE","2200 Holiday Manor Center, Northfield, Jefferson County, KY, US",,MapQuest Open,address
38.107131,-85.87465,"10300 RANCHO DR                                       , LOUISVILLE","10300 Rancho Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.155571,-85.804494,"2500 PENNACOOK RD                                     , LOUISVILLE","2500 Pennacook Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.128203,-85.786311,"1200 FRUITFUL CT                                      , LOUISVILLE","1200 Fruitful Court, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.241496,-85.780327,"1600 W KENTUCKY ST                                    , LOUISVILLE","1600 West Kentucky Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"700  CREEKVALLEY RD                                    , LOUISVILLE",US,,MapQuest Open,country
38.177596,-85.784748,"1400 WOODY AVE                                        , LOUISVILLE","1400 Woody Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.190076,-85.621484,"7200 ORCHARD LAKE BLVD                                , LOUISVILLE","7200 Orchard Lake Boulevard, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.182325,-85.775199,"4700 BELLEVUE AVE                                     , LOUISVILLE","4700 Bellevue Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.182325,-85.775199,"4700 BELLEVUE AVE                                     , LOUISVILLE","4700 Bellevue Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.172872,-85.766072,"100 E KINGSTON AVE                                    , LOUISVILLE","Kingston Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,street
39.78373,-100.445882,"MOSER RD / WATTERSON TRL                                    , LOUISVILLE",US,,MapQuest Open,country
39.78373,-100.445882,"MOSER RD / WATTERSON TRL                                    , LOUISVILLE",US,,MapQuest Open,country
38.164941,-85.800078,"6700 TRIANGLE DR                                      , LOUISVILLE","6700 Triangle Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.164941,-85.800078,"6700 TRIANGLE DR                                      , LOUISVILLE","6700 Triangle Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.149105,-85.5995,"6800 JUMPER CT                                        , LOUISVILLE","6800 Jumper Court, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.240016,-85.724091,"1000 BARDSTOWN RD                                     , LOUISVILLE","1000 Bardstown Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.113285,-85.863183,"9900 DIXIE HWY                                        , LOUISVILLE","9900 Dixie Highway, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.258587,-85.70051,"300  IDLEWYLDE DR                                      , LOUISVILLE","300 Idlewylde Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.106299,-85.76875,"9800 CARLTON DR                                       , LOUISVILLE","9800 Carlton Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.115075,-85.829979,"9700 3RD STREET RD                                    , LOUISVILLE","9700 3rd Street Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.290151,-85.48977,"3800 CRESSINGTON PL                                   , LOUISVILLE","3800 Cressington Place, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.290151,-85.48977,"3800 CRESSINGTON PL                                   , LOUISVILLE","3800 Cressington Place, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.232443,-85.757511,"1300 S 2ND ST                                         , LOUISVILLE","1300 South 2nd Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.16715,-85.757965,"200  EILER AVE                                         , LOUISVILLE","200 Eiler Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.138044,-85.660711,"5400 OUTER LOOP                                       , LOUISVILLE","5400 Outer Loop, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.169537,-85.686948,"5500 INDIAN OAKS CIR                                  , LOUISVILLE","5500 Indian Oaks Circle, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.22234,-85.692721,"2300 DUNDEE RD                                        , LOUISVILLE","2300 Dundee Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.105913,-85.69852,"3500 ORBIT CT                                         , LOUISVILLE","3500 Orbit Court, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.167218,-85.681561,"1500 RANGELAND RD                                     , LOUISVILLE","1500 Rangeland Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.163065,-85.577609,"9800 HOFELICH LN                                      , LOUISVILLE","9800 Hofelich Lane, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.263395,-85.48756,"1800 ARNOLD PALMER BLVD                               , LOUISVILLE","1800 Arnold Palmer Boulevard, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.265464,-85.784543,"2200 ST XAVIER ST                                     , LOUISVILLE","2200 Saint Xavier Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 3RD ST / CENTRAL AVE                                      , LOUISVILLE",US,,MapQuest Open,country
38.236869,-85.718488,"1200 BARDSTOWN RD                                     , LOUISVILLE","1200 Bardstown Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 3RD ST / YORK ST                                          , LOUISVILLE",US,,MapQuest Open,country
38.258329,-85.694633,"2700 HOLLYWOOD TER                                    , LOUISVILLE","2700 Hollywood Terrace, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 29TH ST / MAGAZINE ST                                     , LOUISVILLE",US,,MapQuest Open,country
38.163849,-85.576147,"5600 KASEY WAY                                        , LOUISVILLE","5600 Kasey Way, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.194629,-85.804105,"3900 7TH STREET RD                                    , LOUISVILLE","3900 7th Street Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.283891,-85.632307,"2200 HOLIDAY MANOR CTR                                , LOUISVILLE","2200 Holiday Manor Center, Northfield, Jefferson County, KY, US",,MapQuest Open,address
38.168198,-85.684994,"5600 INDIAN OAKS CIR                                  , LOUISVILLE","5600 Indian Oaks Circle, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.254497,-85.752255,"100 W MARKET ST                                       , LOUISVILLE","100 West Market Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.171245,-85.773536,"500 W SOUTHLAND BLVD                                  , LOUISVILLE","500 West Southland Boulevard, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"N 6TH ST / W MAIN ST                                        , LOUISVILLE",US,,MapQuest Open,country
38.271863,-85.810797,"3800 BANK ST                                          , LOUISVILLE","3800 Bank Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.141633,-85.694911,"1100 CLAY AVE                                         , LOUISVILLE","1100 Clay Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.197395,-85.6332,"4200 WALLINGFORD LN                                   , LOUISVILLE","4200 Wallingford Lane, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.174746,-85.710846,"5100 CRAFTY DR                                        , LOUISVILLE","5100 Crafty Drive, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"E BROADWAY / S CAMPBELL ST                                  , LOUISVILLE",US,,MapQuest Open,country
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.157859,-85.580075,"6500 KEELING PLACE RD                                 , LOUISVILLE","6500 Keeling Place Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.260451,-85.817807,"4100 HERMAN ST                                        , LOUISVILLE","4100 Herman Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.12146,-85.873631,"5600 JOHNSONTOWN RD                                   , LOUISVILLE","5600 Johnsontown Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.171857,-85.83538,"4900 GRASTON AVE                                      , LOUISVILLE","4900 Graston Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.155959,-85.777759,"5300 PARK RD                                          , LOUISVILLE","5300 Park Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.254531,-85.809314,"600 S 35TH ST                                         , LOUISVILLE","600 South 35th Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.18323,-85.708172,"4400 BREITENSTEIN AVE                                 , LOUISVILLE","4400 Breitenstein Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
40.832577,-81.261436,"400 S 4TH ST                                          , LOUISVILLE","4th Street, Louisville, Stark County, OH, US",,MapQuest Open,street
38.252732,-85.767881,"1000 FISK CT                                          , LOUISVILLE","1000 Fisk Court, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.092073,-85.664511,"5400 MOUNT WASHINGTON RD                              , LOUISVILLE","5400 Mount Washington Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"LAPORTE PARK                                                , LOUISVILLE",US,,MapQuest Open,country
38.195746,-85.709542,"1600 LINCOLN AVE                                      , LOUISVILLE","1600 Lincoln Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.193753,-85.717066,"1400 TAYLOR AVE                                       , LOUISVILLE","1400 Taylor Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 15TH ST / W BROADWAY                                      , LOUISVILLE",US,,MapQuest Open,country
38.238674,-85.758742,"300 W KENTUCKY ST                                     , LOUISVILLE","300 West Kentucky Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
39.78373,-100.445882,"S 17TH ST / MAGAZINE ST                                     , LOUISVILLE",US,,MapQuest Open,country
38.253202,-85.702993,"2300 FRANKFORT AVE                                    , LOUISVILLE","2300 Frankfort Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.228754,-85.793066,"2100 W HILL ST                                        , LOUISVILLE","2100 West Hill Street, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.29472,-85.540204,"3000 CHAMBERLAIN LN                                   , LOUISVILLE","Chamberlain Lane, Louisville, Jefferson County, KY, US",,MapQuest Open,street
38.185207,-85.769152,"500 W ASHLAND AVE                                     , LOUISVILLE","500 West Ashland Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.258071,-85.704409,"2200 BROWNSBORO RD                                    , LOUISVILLE","2200 Brownsboro Road, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.246598,-85.731791,"600 BARRET AVE                                        , LOUISVILLE","600 Barret Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.191421,-85.792536,"3700 PARTHENIA AVE                                    , LOUISVILLE","3700 Parthenia Avenue, Louisville, Jefferson County, KY, US",,MapQuest Open,address
38.282724,-85.514935,"8500 LA GRANGE RD                                     , LOUISVILLE","La Grange Road, Louisville, Jefferson County, KY, US",,MapQuest Open,street
